| End of Epoch 16 | Val Loss: 8.0433 | Val PPL: 3112.94 | LR: 1.89e-04
| Epoch 17 | Batch 0/510 | Loss: 8.1724 | PPL: 3541.89
| Epoch 17 | Batch 50/510 | Loss: 8.1258 | PPL: 3380.52
| Epoch 17 | Batch 100/510 | Loss: 8.1274 | PPL: 3386.00
| Epoch 17 | Batch 150/510 | Loss: 8.1296 | PPL: 3393.58
| Epoch 17 | Batch 200/510 | Loss: 8.1308 | PPL: 3397.56
| Epoch 17 | Batch 250/510 | Loss: 8.1319 | PPL: 3401.37
| Epoch 17 | Batch 300/510 | Loss: 8.1315 | PPL: 3399.75
| Epoch 17 | Batch 350/510 | Loss: 8.1306 | PPL: 3396.86
| Epoch 17 | Batch 400/510 | Loss: 8.1304 | PPL: 3396.12
| Epoch 17 | Batch 450/510 | Loss: 8.1301 | PPL: 3395.25
| Epoch 17 | Batch 500/510 | Loss: 8.1298 | PPL: 3394.26
| End of Epoch 17 | Val Loss: 8.0392 | Val PPL: 3100.19 | LR: 1.88e-04
| Epoch 18 | Batch 0/510 | Loss: 8.1303 | PPL: 3395.88
| Epoch 18 | Batch 50/510 | Loss: 8.1263 | PPL: 3382.30
| Epoch 18 | Batch 100/510 | Loss: 8.1279 | PPL: 3387.58
| Epoch 18 | Batch 150/510 | Loss: 8.1328 | PPL: 3404.31
| Epoch 18 | Batch 200/510 | Loss: 8.1322 | PPL: 3402.38
| Epoch 18 | Batch 250/510 | Loss: 8.1304 | PPL: 3396.08
| Epoch 18 | Batch 300/510 | Loss: 8.1307 | PPL: 3397.28
| Epoch 18 | Batch 350/510 | Loss: 8.1288 | PPL: 3390.61
| Epoch 18 | Batch 400/510 | Loss: 8.1291 | PPL: 3391.74
| Epoch 18 | Batch 450/510 | Loss: 8.1302 | PPL: 3395.63
| Epoch 18 | Batch 500/510 | Loss: 8.1306 | PPL: 3396.75
| End of Epoch 18 | Val Loss: 8.0353 | Val PPL: 3088.05 | LR: 1.86e-04
| Epoch 19 | Batch 0/510 | Loss: 8.1265 | PPL: 3382.90
| Epoch 19 | Batch 50/510 | Loss: 8.1288 | PPL: 3390.71
| Epoch 19 | Batch 100/510 | Loss: 8.1295 | PPL: 3392.94
| Epoch 19 | Batch 150/510 | Loss: 8.1285 | PPL: 3389.79
| Epoch 19 | Batch 200/510 | Loss: 8.1278 | PPL: 3387.32
| Epoch 19 | Batch 250/510 | Loss: 8.1280 | PPL: 3387.89
| Epoch 19 | Batch 300/510 | Loss: 8.1283 | PPL: 3389.04
| Epoch 19 | Batch 350/510 | Loss: 8.1284 | PPL: 3389.26
| Epoch 19 | Batch 400/510 | Loss: 8.1291 | PPL: 3391.90
| Epoch 19 | Batch 450/510 | Loss: 8.1294 | PPL: 3392.59
| Epoch 19 | Batch 500/510 | Loss: 8.1294 | PPL: 3392.80
| End of Epoch 19 | Val Loss: 8.0378 | Val PPL: 3095.83 | LR: 1.85e-04
| Epoch 20 | Batch 0/510 | Loss: 8.1433 | PPL: 3440.16
| Epoch 20 | Batch 50/510 | Loss: 8.1200 | PPL: 3360.99
| Epoch 20 | Batch 100/510 | Loss: 8.1244 | PPL: 3376.01
| Epoch 20 | Batch 150/510 | Loss: 8.1262 | PPL: 3381.85
| Epoch 20 | Batch 200/510 | Loss: 8.1283 | PPL: 3389.12
| Epoch 20 | Batch 250/510 | Loss: 8.1300 | PPL: 3394.83
| Epoch 20 | Batch 300/510 | Loss: 8.1293 | PPL: 3392.26
| Epoch 20 | Batch 350/510 | Loss: 8.1300 | PPL: 3394.76
| Epoch 20 | Batch 400/510 | Loss: 8.1294 | PPL: 3392.77
| Epoch 20 | Batch 450/510 | Loss: 8.1295 | PPL: 3393.05
| Epoch 20 | Batch 500/510 | Loss: 8.1285 | PPL: 3389.65
| End of Epoch 20 | Val Loss: 8.0422 | Val PPL: 3109.39 | LR: 1.83e-04
| Epoch 21 | Batch 0/510 | Loss: 8.0749 | PPL: 3212.87
| Epoch 21 | Batch 50/510 | Loss: 8.1266 | PPL: 3383.15
| Epoch 21 | Batch 100/510 | Loss: 8.1286 | PPL: 3390.18
| Epoch 21 | Batch 150/510 | Loss: 8.1301 | PPL: 3395.09
| Epoch 21 | Batch 200/510 | Loss: 8.1302 | PPL: 3395.58
| Epoch 21 | Batch 250/510 | Loss: 8.1318 | PPL: 3400.89
| Epoch 21 | Batch 300/510 | Loss: 8.1310 | PPL: 3398.06
| Epoch 21 | Batch 350/510 | Loss: 8.1315 | PPL: 3400.04
| Epoch 21 | Batch 400/510 | Loss: 8.1312 | PPL: 3398.77
| Epoch 21 | Batch 450/510 | Loss: 8.1301 | PPL: 3395.03
| Epoch 21 | Batch 500/510 | Loss: 8.1296 | PPL: 3393.53
| End of Epoch 21 | Val Loss: 8.0360 | Val PPL: 3090.30 | LR: 1.81e-04
| Epoch 22 | Batch 0/510 | Loss: 8.1158 | PPL: 3347.02
| Epoch 22 | Batch 50/510 | Loss: 8.1227 | PPL: 3370.17
| Epoch 22 | Batch 100/510 | Loss: 8.1248 | PPL: 3377.34
| Epoch 22 | Batch 150/510 | Loss: 8.1263 | PPL: 3382.20
| Epoch 22 | Batch 200/510 | Loss: 8.1281 | PPL: 3388.48
| Epoch 22 | Batch 250/510 | Loss: 8.1283 | PPL: 3389.12
| Epoch 22 | Batch 300/510 | Loss: 8.1280 | PPL: 3388.06
| Epoch 22 | Batch 350/510 | Loss: 8.1282 | PPL: 3388.73
| Epoch 22 | Batch 400/510 | Loss: 8.1288 | PPL: 3390.59
| Epoch 22 | Batch 450/510 | Loss: 8.1292 | PPL: 3392.06
| Epoch 22 | Batch 500/510 | Loss: 8.1296 | PPL: 3393.56
| End of Epoch 22 | Val Loss: 8.0335 | Val PPL: 3082.52 | LR: 1.79e-04
| Epoch 23 | Batch 0/510 | Loss: 8.1073 | PPL: 3318.56
| Epoch 23 | Batch 50/510 | Loss: 8.1313 | PPL: 3399.13
| Epoch 23 | Batch 100/510 | Loss: 8.1325 | PPL: 3403.33
| Epoch 23 | Batch 150/510 | Loss: 8.1307 | PPL: 3397.14
| Epoch 23 | Batch 200/510 | Loss: 8.1289 | PPL: 3391.10
| Epoch 23 | Batch 250/510 | Loss: 8.1270 | PPL: 3384.72
| Epoch 23 | Batch 300/510 | Loss: 8.1281 | PPL: 3388.43
| Epoch 23 | Batch 350/510 | Loss: 8.1283 | PPL: 3389.07
| Epoch 23 | Batch 400/510 | Loss: 8.1286 | PPL: 3389.96
| Epoch 23 | Batch 450/510 | Loss: 8.1282 | PPL: 3388.65
| Epoch 23 | Batch 500/510 | Loss: 8.1280 | PPL: 3388.09
| End of Epoch 23 | Val Loss: 8.0396 | Val PPL: 3101.36 | LR: 1.77e-04
| Epoch 24 | Batch 0/510 | Loss: 8.1041 | PPL: 3308.03
| Epoch 24 | Batch 50/510 | Loss: 8.1264 | PPL: 3382.50
| Epoch 24 | Batch 100/510 | Loss: 8.1280 | PPL: 3387.95
| Epoch 24 | Batch 150/510 | Loss: 8.1293 | PPL: 3392.36
| Epoch 24 | Batch 200/510 | Loss: 8.1301 | PPL: 3395.08
| Epoch 24 | Batch 250/510 | Loss: 8.1288 | PPL: 3390.76
| Epoch 24 | Batch 300/510 | Loss: 8.1294 | PPL: 3392.85
| Epoch 24 | Batch 350/510 | Loss: 8.1303 | PPL: 3395.84
| Epoch 24 | Batch 400/510 | Loss: 8.1314 | PPL: 3399.49
| Epoch 24 | Batch 450/510 | Loss: 8.1302 | PPL: 3395.32
| Epoch 24 | Batch 500/510 | Loss: 8.1287 | PPL: 3390.53
| End of Epoch 24 | Val Loss: 8.0414 | Val PPL: 3106.92 | LR: 1.75e-04
| Epoch 25 | Batch 0/510 | Loss: 8.0957 | PPL: 3280.34
| Epoch 25 | Batch 50/510 | Loss: 8.1187 | PPL: 3356.76
| Epoch 25 | Batch 100/510 | Loss: 8.1267 | PPL: 3383.62
| Epoch 25 | Batch 150/510 | Loss: 8.1268 | PPL: 3384.03
| Epoch 25 | Batch 200/510 | Loss: 8.1269 | PPL: 3384.22
| Epoch 25 | Batch 250/510 | Loss: 8.1281 | PPL: 3388.25
| Epoch 25 | Batch 300/510 | Loss: 8.1287 | PPL: 3390.43
| Epoch 25 | Batch 350/510 | Loss: 8.1292 | PPL: 3392.19
| Epoch 25 | Batch 400/510 | Loss: 8.1278 | PPL: 3387.50
| Epoch 25 | Batch 450/510 | Loss: 8.1274 | PPL: 3386.00
| Epoch 25 | Batch 500/510 | Loss: 8.1274 | PPL: 3386.01
| End of Epoch 25 | Val Loss: 8.0386 | Val PPL: 3098.32 | LR: 1.73e-04
| Epoch 26 | Batch 0/510 | Loss: 8.0959 | PPL: 3281.09
| Epoch 26 | Batch 50/510 | Loss: 8.1261 | PPL: 3381.57
| Epoch 26 | Batch 100/510 | Loss: 8.1277 | PPL: 3387.09
| Epoch 26 | Batch 150/510 | Loss: 8.1271 | PPL: 3384.90
| Epoch 26 | Batch 200/510 | Loss: 8.1287 | PPL: 3390.49
| Epoch 26 | Batch 250/510 | Loss: 8.1287 | PPL: 3390.34
| Epoch 26 | Batch 300/510 | Loss: 8.1284 | PPL: 3389.24
| Epoch 26 | Batch 350/510 | Loss: 8.1293 | PPL: 3392.47
| Epoch 26 | Batch 400/510 | Loss: 8.1292 | PPL: 3392.18
| Epoch 26 | Batch 450/510 | Loss: 8.1287 | PPL: 3390.34
| Epoch 26 | Batch 500/510 | Loss: 8.1288 | PPL: 3390.86
| End of Epoch 26 | Val Loss: 8.0423 | Val PPL: 3109.79 | LR: 1.71e-04
| Epoch 27 | Batch 0/510 | Loss: 8.1286 | PPL: 3390.12
| Epoch 27 | Batch 50/510 | Loss: 8.1224 | PPL: 3369.13
| Epoch 27 | Batch 100/510 | Loss: 8.1241 | PPL: 3374.88
| Epoch 27 | Batch 150/510 | Loss: 8.1240 | PPL: 3374.41
| Epoch 27 | Batch 200/510 | Loss: 8.1273 | PPL: 3385.78
| Epoch 27 | Batch 250/510 | Loss: 8.1280 | PPL: 3387.91
| Epoch 27 | Batch 300/510 | Loss: 8.1285 | PPL: 3389.78
| Epoch 27 | Batch 350/510 | Loss: 8.1294 | PPL: 3392.71
| Epoch 27 | Batch 400/510 | Loss: 8.1293 | PPL: 3392.31
| Epoch 27 | Batch 450/510 | Loss: 8.1290 | PPL: 3391.50
| Epoch 27 | Batch 500/510 | Loss: 8.1289 | PPL: 3391.01
| End of Epoch 27 | Val Loss: 8.0377 | Val PPL: 3095.39 | LR: 1.69e-04
| Epoch 28 | Batch 0/510 | Loss: 8.0952 | PPL: 3278.80
| Epoch 28 | Batch 50/510 | Loss: 8.1240 | PPL: 3374.33
| Epoch 28 | Batch 100/510 | Loss: 8.1259 | PPL: 3380.85
| Epoch 28 | Batch 150/510 | Loss: 8.1269 | PPL: 3384.39
| Epoch 28 | Batch 200/510 | Loss: 8.1280 | PPL: 3388.06
| Epoch 28 | Batch 250/510 | Loss: 8.1282 | PPL: 3388.82
| Epoch 28 | Batch 300/510 | Loss: 8.1281 | PPL: 3388.30
| Epoch 28 | Batch 350/510 | Loss: 8.1279 | PPL: 3387.73
| Epoch 28 | Batch 400/510 | Loss: 8.1275 | PPL: 3386.25
| Epoch 28 | Batch 450/510 | Loss: 8.1267 | PPL: 3383.77
| Epoch 28 | Batch 500/510 | Loss: 8.1270 | PPL: 3384.74
| End of Epoch 28 | Val Loss: 8.0416 | Val PPL: 3107.54 | LR: 1.66e-04
| Epoch 29 | Batch 0/510 | Loss: 8.1311 | PPL: 3398.48
| Epoch 29 | Batch 50/510 | Loss: 8.1346 | PPL: 3410.53
| Epoch 29 | Batch 100/510 | Loss: 8.1307 | PPL: 3397.30
| Epoch 29 | Batch 150/510 | Loss: 8.1305 | PPL: 3396.49
| Epoch 29 | Batch 200/510 | Loss: 8.1300 | PPL: 3394.67
| Epoch 29 | Batch 250/510 | Loss: 8.1299 | PPL: 3394.38
| Epoch 29 | Batch 300/510 | Loss: 8.1298 | PPL: 3394.16
| Epoch 29 | Batch 350/510 | Loss: 8.1292 | PPL: 3392.11
| Epoch 29 | Batch 400/510 | Loss: 8.1279 | PPL: 3387.59
